"CountryName","RegionName","Date","PredictedDailyNewCases","PredictedDailyNewDeaths","PredictedDailyNewHospital","PredictedDailyNewICU","Cost"
"Afghanistan","",2021-02-10,13342.6715355739,NA,NA,NA,13
"Afghanistan","",2021-02-11,14920.135018213,NA,NA,NA,13
"Afghanistan","",2021-02-12,16563.9918012324,NA,NA,NA,13
"Afghanistan","",2021-02-13,18286.3556243355,NA,NA,NA,13
"Afghanistan","",2021-02-14,20249.447631698,NA,NA,NA,13
"Afghanistan","",2021-02-15,23968.4747765558,NA,NA,NA,13
"Afghanistan","",2021-02-16,24950.0682814332,NA,3335.66788389349,1000.70036516805,13
"Afghanistan","",2021-02-17,27268.2100060461,NA,3730.03375455325,1119.01012636598,13
"Afghanistan","",2021-02-18,30151.5486017092,NA,4140.99795030809,1242.29938509243,13
"Afghanistan","",2021-02-19,33191.3745197257,NA,4571.58890608387,1371.47667182516,13
"Afghanistan","",2021-02-20,36400.1322440762,NA,5062.36190792451,1518.70857237735,13
"Afghanistan","",2021-02-21,39939.1408382079,NA,5992.11869413894,1797.63560824168,13
"Afghanistan","",2021-02-22,45319.5156804027,NA,6237.5170703583,1871.25512110749,13
"Afghanistan","",2021-02-23,48031.2079799817,133.426715355739,6817.05250151153,2045.11575045346,13
"Afghanistan","",2021-02-24,52157.7079197087,149.20135018213,7537.88715042731,2261.36614512819,13
"Afghanistan","",2021-02-25,57669.031886513,165.639918012324,8297.84362993142,2489.35308897942,8
"Afghanistan","",2021-02-26,62858.959447615,182.863556243355,9100.03306101904,2730.00991830571,8
"Afghanistan","",2021-02-27,68232.1921547212,202.49447631698,9984.78520955198,2995.43556286559,8
"Afghanistan","",2021-02-28,73964.8584192031,239.684747765558,11329.8789201007,3398.9636760302,8
"Afghanistan","",2021-03-01,81546.7808219572,249.500682814332,12007.8019949954,3602.34059849863,8
"Afghanistan","",2021-03-02,86417.4267044016,272.682100060461,13039.4269799272,3911.82809397815,8
"Afghanistan","",2021-03-03,92656.0338841568,301.515486017092,14417.2579716282,4325.17739148847,8
"Afghanistan","",2021-03-04,100167.116041971,331.913745197257,15714.7398619038,4714.42195857113,8
"Afghanistan","",2021-03-05,107179.044878121,364.001322440762,17058.0480386803,5117.41441160409,8
"Afghanistan","",2021-03-06,114147.495566803,399.391408382079,18491.2146048008,5547.36438144023,8
"Afghanistan","",2021-03-07,121190.961211422,453.195156804027,20386.6952054893,6116.00856164679,8
"Afghanistan","",2021-03-08,129735.92583621,480.312079799817,21604.3566761004,6481.30700283012,8
"Afghanistan","",2021-03-09,135126.989696171,521.577079197087,23164.0084710392,6949.20254131176,8
"Afghanistan","",2021-03-10,141444.719772136,576.69031886513,25041.7790104927,7512.5337031478,8
"Afghanistan","",2021-03-11,148517.667657655,628.58959447615,26794.7612195301,8038.42836585904,8
"Afghanistan","",2021-03-12,154499.614053249,682.321921547212,28536.8738917006,8561.06216751019,8
"Afghanistan","",2021-03-13,159820.247333353,739.648584192031,30297.7403028554,9089.32209085663,8
"Afghanistan","",2021-03-14,164574.544153689,815.467808219572,32433.9814590525,9730.19443771575,8
"Afghanistan","",2021-03-15,170179.088585761,864.174267044016,33781.7474240429,10134.5242272129,8
"Afghanistan","",2021-03-16,171940.340958525,926.560338841568,35361.179943034,10608.3539829102,8
"Afghanistan","",2021-03-17,174061.562859495,1001.67116041971,37129.4169144138,11138.8250743241,8
"Afghanistan","",2021-03-18,176393.546523111,1071.79044878121,38624.9035133122,11587.4710539937,8
"Afghanistan","",2021-03-19,177146.159244052,1141.47495566803,39955.0618333383,11986.5185500015,8
"Afghanistan","",2021-03-20,176857.463474526,1211.90961211422,41143.6360384223,12343.0908115267,8
"Afghanistan","",2021-03-21,175732.692024881,1297.3592583621,42544.7721464402,12763.4316439321,8
"Afghanistan","",2021-03-22,175301.145537116,1351.26989696171,42985.0852396314,12895.5255718894,8
"Afghanistan","",2021-03-23,170934.854606101,1414.44719772136,43515.3907148737,13054.6172144621,8
"Afghanistan","",2021-03-24,167066.342259847,1485.17667657655,44098.3866307778,13229.5159892334,8
"Afghanistan","",2021-03-25,163617.002171023,1544.99614053249,44286.5398110131,13285.9619433039,8
"Afghanistan","",2021-03-26,158862.398313172,1598.20247333353,44214.3658686315,13264.3097605895,8
"Afghanistan","",2021-03-27,152553.397781758,1645.74544153689,43933.1730062202,13179.9519018661,9
"Afghanistan","",2021-03-28,146769.581400477,1701.79088585761,43825.2863842789,13147.5859152837,9
"Afghanistan","",2021-03-29,142252.873991802,1719.40340958525,42733.7136515253,12820.1140954576,9
"Afghanistan","",2021-03-30,134330.703148726,1740.61562859495,41766.5855649618,12529.9756694886,9
"Afghanistan","",2021-03-31,127551.238038738,1763.93546523111,40904.2505427557,12271.2751628267,9
"Afghanistan","",2021-04-01,121791.991787033,1771.46159244052,39715.5995782929,11914.6798734879,9
"Afghanistan","",2021-04-02,115282.546695001,1768.57463474526,38138.3494454396,11441.5048336319,9
"Afghanistan","",2021-04-03,107771.637156814,1757.32692024881,36692.3953501194,11007.7186050358,9
"Afghanistan","",2021-04-04,101329.524441449,1753.01145537116,35563.2184979505,10668.9655493851,9
"Afghanistan","",2021-04-05,96625.9162679848,1709.34854606101,33582.6757871814,10074.8027361544,9
"Afghanistan","",2021-04-06,88901.7884244494,1670.66342259847,31887.8095096846,9566.34285290537,9
"Afghanistan","",2021-04-07,82731.7425836716,1636.17002171023,30447.9979467582,9134.39938402747,9
"Afghanistan","",2021-04-08,77903.969859006,1588.62398313172,28820.6366737503,8646.1910021251,9
"Afghanistan","",2021-04-09,72573.7925551999,1525.53397781758,26942.9092892035,8082.87278676106,9
"Afghanistan","",2021-04-10,66458.2257722115,1467.69581400477,25332.3811103622,7599.71433310866,9
"Afghanistan","",2021-04-11,61368.0355361702,1422.52873991802,24156.4790669962,7246.94372009886,10
"Afghanistan","",2021-04-12,58384.0975554023,1343.30703148726,22225.4471061124,6667.63413183371,10
"Afghanistan","",2021-04-13,52459.5132229118,1275.51238038738,20682.9356459179,6204.88069377537,10
"Afghanistan","",2021-04-14,48171.5225145859,1217.91991787033,19475.9924647515,5842.79773942545,10
"Afghanistan","",2021-04-15,45253.3312698808,1152.82546695001,18143.4481388,5443.03444163999,10
"Afghanistan","",2021-04-16,41820.9964423691,1077.71637156814,16614.5564430529,4984.36693291586,10
"Afghanistan","",2021-04-17,37581.8797609992,1013.29524441449,15342.0088840426,4602.60266521277,10
"Afghanistan","",2021-04-18,34338.2411680218,966.259162679848,14596.0243888506,4378.80731665517,10
"Afghanistan","",2021-04-19,33147.8455643388,889.017884244494,13114.8783057279,3934.46349171838,10
"Afghanistan","",2021-04-20,28938.0040918536,827.317425836716,12042.8806286465,3612.86418859394,10
"Afghanistan","",2021-04-21,26307.5388465018,779.03969859006,11313.3328174702,3393.99984524106,10
"Afghanistan","",2021-04-22,24970.1337516882,725.737925551999,10455.2491105923,3136.57473317768,10
"Afghanistan","",2021-04-23,23030.9095844368,664.582257722115,9395.46994024981,2818.64098207494,10
"Afghanistan","",2021-04-24,20202.1416423367,613.680355361702,8584.56029200545,2575.36808760163,10
"Afghanistan","",2021-04-25,18291.7994724457,583.840975554023,8286.96139108469,2486.08841732541,10
"Afghanistan","",2021-04-26,18544.2571522909,524.595132229118,7234.50102296341,2170.35030688902,8
"Afghanistan","",2021-04-27,15482.7455918998,481.715225145859,6576.88471162544,1973.06541348763,8
"Afghanistan","",2021-04-28,13921.7739716169,452.533312698808,6242.53343792206,1872.76003137662,8
"Afghanistan","",2021-04-29,13579.4781769813,418.209964423691,5757.7273961092,1727.31821883276,8
"Afghanistan","",2021-04-30,12561.3915290891,375.818797609992,5050.53541058418,1515.16062317526,8
"Afghanistan","",2021-05-01,10586.7976876701,343.382411680218,4572.94986811142,1371.88496043342,8
"Afghanistan","",2021-05-02,9470.3269178955,331.478455643388,4636.06428807273,1390.81928642182,8
"Afghanistan","",2021-05-03,10456.5967618699,289.380040918536,3870.68639797496,1161.20591939249,8
"Afghanistan","",2021-05-04,8067.41332358016,263.075388465018,3480.44349290422,1044.13304787127,8
"Afghanistan","",2021-05-05,7130.31245973561,249.701337516882,3394.86954424533,1018.4608632736,8
"Afghanistan","",2021-05-06,7362.70797443467,230.309095844368,3140.34788227228,942.104364681684,8
"Afghanistan","",2021-05-07,6871.35279818521,202.021416423367,2646.69942191751,794.009826575254,8
"Afghanistan","",2021-05-08,5380.7619954165,182.917994724457,2367.58172947387,710.274518842162,8
"Afghanistan","",2021-05-09,4710.38556383562,185.442571522909,2614.14919046748,784.244757140243,8
"Afghanistan","",2021-05-10,6106.09730132758,154.827455918998,2016.85333089504,605.055999268512,8
"Albania","",2021-02-10,3603.8268425,NA,NA,NA,12
"Albania","",2021-02-11,3725.92594463573,NA,NA,NA,12
"Albania","",2021-02-12,3847.63927485099,NA,NA,NA,12
"Albania","",2021-02-13,3979.38637423942,NA,NA,NA,12
"Albania","",2021-02-14,4033.58813146984,NA,NA,NA,12
"Albania","",2021-02-15,3978.04355655966,NA,NA,NA,12
"Albania","",2021-02-16,4621.14598538057,NA,900.956710625001,270.2870131875,12
"Albania","",2021-02-17,4946.0796856219,NA,931.481486158934,279.44444584768,12
"Albania","",2021-02-18,5090.8847523613,NA,961.909818712748,288.572945613824,12
"Albania","",2021-02-19,5230.30760451218,NA,994.846593559855,298.453978067956,12
"Albania","",2021-02-20,5374.22015989684,NA,1008.39703286746,302.519109860238,12
