CountryName,RegionName,Date,PredictedDailyNewCases
Afghanistan,,2021-02-06,8715.872190090093
Afghanistan,,2021-02-07,9714.156183739464
Afghanistan,,2021-02-08,12385.001989275275
Afghanistan,,2021-02-09,12240.363259409101
Afghanistan,,2021-02-10,13554.68766988816
Afghanistan,,2021-02-11,15199.804044274035
Afghanistan,,2021-02-12,16917.17085367487
Afghanistan,,2021-02-13,18725.17467256298
Afghanistan,,2021-02-14,20788.923553537985
Afghanistan,,2021-02-15,24625.799024748478
Afghanistan,,2021-02-16,25744.4598631457
Afghanistan,,2021-02-17,28433.289775415225
Afghanistan,,2021-02-18,31565.98413842979
Afghanistan,,2021-02-19,34886.688943669214
Afghanistan,,2021-02-20,38416.363029820575
Afghanistan,,2021-02-21,42321.39729137189
Afghanistan,,2021-02-22,48117.16344921405
Afghanistan,,2021-02-23,51296.715151156575
Afghanistan,,2021-02-24,56159.88230004064
Afghanistan,,2021-02-25,61561.28851979104
Afghanistan,,2021-02-26,67227.39284845415
Afghanistan,,2021-02-27,73158.00607708462
Afghanistan,,2021-02-28,79492.46624948399
Albania,,2021-02-06,2783.510795942485
Albania,,2021-02-07,2802.127677967387
Albania,,2021-02-08,2710.458288497635
Albania,,2021-02-09,3317.799245255049
Albania,,2021-02-10,3510.841100698264
Albania,,2021-02-11,3612.5371457007873
Albania,,2021-02-12,3717.4590924693603
Albania,,2021-02-13,3832.0545151162505
Albania,,2021-02-14,3870.4234401481817
Albania,,2021-02-15,3796.3383606709576
Albania,,2021-02-16,4419.887338555997
Albania,,2021-02-17,4620.496463607147
Albania,,2021-02-18,4724.303955139959
Albania,,2021-02-19,4826.366305003872
Albania,,2021-02-20,4932.764429281742
Albania,,2021-02-21,4957.406270460757
Albania,,2021-02-22,4864.707652320848
Albania,,2021-02-23,5466.108025411459
Albania,,2021-02-24,5632.06887464043
Albania,,2021-02-25,5693.651988102258
Albania,,2021-02-26,5747.17278831802
Albania,,2021-02-27,5798.914569950545
Albania,,2021-02-28,5762.9062716895005
Algeria,,2021-02-06,1332.400695021767
Algeria,,2021-02-07,1413.3649664736417
Algeria,,2021-02-08,1574.1161755335302
