Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentHospital,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/11/18,"United Kingdom",GB,Liverpool,GBLIV,en,20,2,,0,0,,,1,,,2,,,,,,limesurvey-186,iqfiv7ha1khnanbhk,
2020/11/19,"United Kingdom",GB,Liverpool,GBLIV,en,37,2,,0,1,,,1,,,0,,,,,,limesurvey-220,wjzw5eufgekhp975cy,
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,4242,4242,,4242,4242,,,4242,,,4242,,,,,,limesurvey-231,edsxp0ns6bkhpsl2mw,
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,4242,4242,,4242,4242,,,4242,,,4242,,,,,,limesurvey-236,5hi9o7zfrhkhpsow4e,foobar
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,4242,4242,,4242,4242,,,4242,,,4242,,,,,,limesurvey-235,5hi9o7zfrhkhpsow4e,
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,4242,4242,,4242,4242,,,4242,,,4242,,,,,,limesurvey-234,edsxp0ns6bkhpsl2mw,foobar
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,30,0,,0,0,,,0,,,0,,,,,,limesurvey-294,gifpa938q4khq7pocz,
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,5,1,,0,0,,,0,,,1,,,,,,limesurvey-258,gdcoussp9zkhq5b8yc,
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,25,0,,0,0,,,0,,,0,,,,,,limesurvey-276,ne2u0ut6nukhq6ldbf,
2020/11/20,"United Kingdom",GB,Liverpool,GBLIV,en,6,0,,0,0,,,0,,,0,,,,,,limesurvey-256,oq86u4ewwvkhq4ywxm,
