# Bridge edges
686	692
686	801
3437	3451
3437	3453
3437	3570
3437	3650
3437	3709
3437	3729
3437	3748
3437	3798
3437	3820
3437	3853
3437	3856
3437	3935
3437	3974
1912	2079
1912	2195
1912	2269
1912	2457
1912	2470
1912	2569
1912	2596
1684	2842
1684	3031
1684	3071
1684	3183
1684	3230
698	875
698	883
698	891
698	892
3980	3984
3980	4008
3980	4010
3980	4015
3980	4022
3980	4024
3980	4035
414	585
414	602
414	607
414	608
414	613
414	624
414	638
414	668
414	674
107	911
107	918
107	1096
107	1119
107	1145
107	1206
107	1386
107	1466
107	1560
107	1581
107	1834
348	358
348	447
348	550
0	11
0	12
0	15
0	18
0	37
0	43
0	74
0	114
0	209
0	210
0	215
0	287
0	292
0	335
